Driver_type,FROM_ORG_UNIT_ID,FROM_COST_TYPE_ID,TO_COST_TYPE_ID,TO_ORG_UNIT_ID,VALUE,V_MAKER_REMARKS
CPTTPB,34599,99,9901,34599,1.0,
CPTTPB,35199,99,9901,35199,1.0,
CPTTPB,36099,99,9901,36099,1.0,
CPTTPB,36299,99,9901,36299,1.0,
CPTTPB,36899,99,9901,36899,1.0,
CPTTPB,37199,99,9901,37199,1.0,
CPTTPB,37599,99,9901,37599,1.0,
CPTTPB,39099,99,9901,39099,1.0,
CPTTPB,39599,99,9901,39599,1.0,
CPTTPB,39899,99,9901,39899,1.0,
CPTTPB,41199,99,9901,41199,1.0,
CPTTPB,42199,99,9901,42199,1.0,
CPTTPB,42599,99,9901,42599,1.0,
CPTTPB,42699,99,9901,42699,1.0,
CPTTPB,42799,99,9901,42799,1.0,
CPTTPB,42899,99,9901,42899,1.0,
CPTTPB,43199,99,9901,43199,1.0,
CPTTPB,43299,99,9901,43299,1.0,
CPTTPB,43399,99,9901,43399,1.0,
CPTTPB,44099,99,9901,44099,1.0,
CPTTPB,44199,99,9901,44199,1.0,
CPTTPB,44399,99,9901,44399,1.0,
CPTTPB,44499,99,9901,44499,1.0,
CPTTPB,44899,99,9901,44899,1.0,
CPTTPB,45099,99,9901,45099,1.0,
CPTTPB,45199,99,9901,45199,1.0,
CPTTPB,45299,99,9901,45299,1.0,
CPTTPB,45599,99,9901,45599,1.0,
CPTTPB,46099,99,9901,46099,1.0,
CPTTPB,46199,99,9901,46199,1.0,
CPTTPB,46599,99,9901,46599,1.0,
CPTTPB,46699,99,9901,46699,1.0,
CPTTPB,46899,99,9901,46899,1.0,
CPTTPB,47199,99,9901,47199,1.0,
CPTTPB,48099,99,9901,48099,1.0,
CPTTPB,48299,99,9901,48299,1.0,
CPTTPB,48399,99,9901,48399,1.0,
CPTTPB,48699,99,9901,48699,1.0,
CPTTPB,48899,99,9901,48899,1.0,
CPTTPB,50199,99,9901,50199,1.0,
CPTTPB,50299,99,9901,50299,1.0,
CPTTPB,50599,99,9901,50599,1.0,
CPTTPB,51099,99,9901,51099,1.0,
CPTTPB,51299,99,9901,51299,1.0,
CPTTPB,51399,99,9901,51399,1.0,
CPTTPB,51899,99,9901,51899,1.0,
CPTTPB,52099,99,9901,52099,1.0,
CPTTPB,52299,99,9901,52299,1.0,
CPTTPB,53199,99,9901,53199,1.0,
CPTTPB,53299,99,9901,53299,1.0,
CPTTPB,54099,99,9901,54099,1.0,
CPTTPB,55199,99,9901,55199,1.0,
CPTTPB,55699,99,9901,55699,1.0,
CPTTPB,55899,99,9901,55899,1.0,
CPTTPB,56099,99,9901,56099,1.0,
CPTTPB,56199,99,9901,56199,1.0,
CPTTPB,56299,99,9901,56299,1.0,
CPTTPB,56599,99,9901,56599,1.0,
CPTTPB,56699,99,9901,56699,1.0,
CPTTPB,57099,99,9901,57099,1.0,
CPTTPB,58099,99,9901,58099,1.0,
CPTTPB,58199,99,9901,58199,1.0,
CPTTPB,59099,99,9901,59099,1.0,
CPTTPB,60199,99,9901,60199,1.0,
CPTTPB,60299,99,9901,60299,1.0,
CPTTPB,61199,99,9901,61199,1.0,
CPTTPB,61599,99,9901,61599,1.0,
CPTTPB,62099,99,9901,62099,1.0,
CPTTPB,62199,99,9901,62199,1.0,
CPTTPB,62599,99,9901,62599,1.0,
CPTTPB,62699,99,9901,62699,1.0,
CPTTPB,63199,99,9901,63199,1.0,
CPTTPB,63299,99,9901,63299,1.0,
CPTTPB,63399,99,9901,63399,1.0,
CPTTPB,63599,99,9901,63599,1.0,
CPTTPB,63699,99,9901,63699,1.0,
CPTTPB,64199,99,9901,64199,1.0,
CPTTPB,64299,99,9901,64299,1.0,
CPTTPB,64699,99,9901,64699,1.0,
CPTTPB,65099,99,9901,65099,1.0,
CPTTPB,65199,99,9901,65199,1.0,
CPTTPB,65299,99,9901,65299,1.0,
CPTTPB,65399,99,9901,65399,1.0,
CPTTPB,65599,99,9901,65599,1.0,
CPTTPB,65699,99,9901,65699,1.0,
CPTTPB,66199,99,9901,66199,1.0,
CPTTPB,67099,99,9901,67099,1.0,
CPTTPB,67199,99,9901,67199,1.0,
CPTTPB,67299,99,9901,67299,1.0,
CPTTPB,67999,99,9901,67999,1.0,
CPTTPB,68099,99,9901,68099,1.0,
CPTTPB,68699,99,9901,68699,1.0,
CPTTPB,69199,99,9901,69199,1.0,
CPTTPB,69699,99,9901,69699,1.0,
CPTTPB,70199,99,9901,70199,1.0,
CPTTPB,70299,99,9901,70299,1.0,
CPTTPB,71099,99,9901,71099,1.0,
CPTTPB,71199,99,9901,71199,1.0,
CPTTPB,72199,99,9901,72199,1.0,
CPTTPB,72999,99,9901,72999,1.0,
CPTTPB,73099,99,9901,73099,1.0,
CPTTPB,73599,99,9901,73599,1.0,
CPTTPB,73799,99,9901,73799,1.0,
CPTTPB,74199,99,9901,74199,1.0,
CPTTPB,74299,99,9901,74299,1.0,
CPTTPB,74599,99,9901,74599,1.0,
CPTTPB,74899,99,9901,74899,1.0,
CPTTPB,75099,99,9901,75099,1.0,
CPTTPB,75399,99,9901,75399,1.0,
CPTTPB,76099,99,9901,76099,1.0,
CPTTPB,76199,99,9901,76199,1.0,
CPTTPB,76299,99,9901,76299,1.0,
CPTTPB,76699,99,9901,76699,1.0,
CPTTPB,78099,99,9901,78099,1.0,
CPTTPB,78599,99,9901,78599,1.0,
CPTTPB,78899,99,9901,78899,1.0,
CPTTPB,81899,99,9901,81899,1.0,
CPTTPB,115700118465,99,9901,115700118465,1.0,
CPTTPB,115700119465,99,9901,115700119465,1.0,
CPTTPB,115700120465,99,9901,115700120465,1.0,
CPTTPB,115700122465,99,9901,115700122465,1.0,
CPTTPB,115700123465,99,9901,115700123465,1.0,
CPTTPB,115700130465,99,9901,115700130465,1.0,
CPTTPB,115700135465,99,9901,115700135465,1.0,
CPTTPB,115700140465,99,9901,115700140465,1.0,
CPTTPB,115700150465,99,9901,115700150465,1.0,
