LEVEL_06_CODE ,TÊN GỐC,Tên khối
120700124950,,BAN LANH DAO
12599,,
111100125021,,KHOI BAN BUON
111100125022,,KHOI BAN BUON
112100125120,,KHOI BAN LE
112100125121,,KHOI BAN LE
112100125122,,KHOI BAN LE
112100125150,,KHOI BAN LE
112100125151,,KHOI BAN LE
112100125152,,KHOI BAN LE
112100125153,,KHOI BAN LE
112100125155,,KHOI BAN LE
112100125157,,KHOI BAN LE
114600125335,,KHOI QUAN LY RUI RO
115600125440,,KHOI TAC NGHIEP
115600125446,,KHOI TAC NGHIEP
116700125521,,KHOI TAI CHINH-KE TOAN
117700125698,,KHOI HO TRO
119000125000,,BO PHAN CHUNG
120700125950,,BAN LANH DAO
12699,,
111100126021,,KHOI BAN BUON
111100126022,,KHOI BAN BUON
111100126023,,KHOI BAN BUON
112100126121,,KHOI BAN LE
112100126122,,KHOI BAN LE
112100126150,,KHOI BAN LE
112100126151,,KHOI BAN LE
112100126152,,KHOI BAN LE
112100126153,,KHOI BAN LE
112100126154,,KHOI BAN LE
112100126155,,KHOI BAN LE
114600126335,,KHOI QUAN LY RUI RO
115600126440,,KHOI TAC NGHIEP
115600126446,,KHOI TAC NGHIEP
116700126521,,KHOI TAI CHINH-KE TOAN
117700126698,,KHOI HO TRO
119000126000,,BO PHAN CHUNG
120700126950,,BAN LANH DAO
12899,,
111100128021,,KHOI BAN BUON
111100128022,,KHOI BAN BUON
112100128121,,KHOI BAN LE
112100128150,,KHOI BAN LE
112100128151,,KHOI BAN LE
112100128152,,KHOI BAN LE
112100128153,,KHOI BAN LE
114600128335,,KHOI QUAN LY RUI RO
115600128440,,KHOI TAC NGHIEP
115600128446,,KHOI TAC NGHIEP
117700128618,,KHOI HO TRO
119000128000,,BO PHAN CHUNG
120700128950,,BAN LANH DAO
12999,,
111100129021,,KHOI BAN BUON
111100129022,,KHOI BAN BUON
111100129023,,KHOI BAN BUON
112100129121,,KHOI BAN LE
112100129122,,KHOI BAN LE
112100129151,,KHOI BAN LE
112100129152,,KHOI BAN LE
112100129153,,KHOI BAN LE
112100129154,,KHOI BAN LE
114600129335,,KHOI QUAN LY RUI RO
115600129440,,KHOI TAC NGHIEP
115600129446,,KHOI TAC NGHIEP
117700129618,,KHOI HO TRO
119000129000,,BO PHAN CHUNG
120700129950,,BAN LANH DAO
15099,,
111100150021,,KHOI BAN BUON
111100150022,,KHOI BAN BUON
111100150023,,KHOI BAN BUON
111100150025,,KHOI BAN BUON
112100150121,,KHOI BAN LE
112100150122,,KHOI BAN LE
112100150150,,KHOI BAN LE
112100150151,,KHOI BAN LE
112100150152,,KHOI BAN LE
112100150153,,KHOI BAN LE
114600150335,,KHOI QUAN LY RUI RO
115600150440,,KHOI TAC NGHIEP
115600150446,,KHOI TAC NGHIEP
115700150465,,KHOI TAC NGHIEP
116700150521,,KHOI TAI CHINH-KE TOAN
117700150698,,KHOI HO TRO
119000150000,,BO PHAN CHUNG
120700150950,,BAN LANH DAO
15199,,
111100151021,,KHOI BAN BUON
111100151022,,KHOI BAN BUON
111100151023,,KHOI BAN BUON
112100151120,,KHOI BAN LE
112100151121,,KHOI BAN LE
112100151122,,KHOI BAN LE
112100151150,,KHOI BAN LE
112100151151,,KHOI BAN LE
112100151152,,KHOI BAN LE
112100151154,,KHOI BAN LE
114600151335,,KHOI QUAN LY RUI RO
115600151440,,KHOI TAC NGHIEP
115600151446,,KHOI TAC NGHIEP
116700151521,,KHOI TAI CHINH-KE TOAN
117700151698,,KHOI HO TRO
119000151000,,BO PHAN CHUNG
120700151950,,BAN LANH DAO
15999,,
111100159021,,KHOI BAN BUON
111100159022,,KHOI BAN BUON
112100159121,,KHOI BAN LE
112100159150,,KHOI BAN LE
112100159151,,KHOI BAN LE
112100159152,,KHOI BAN LE
112100159154,,KHOI BAN LE
114600159335,,KHOI QUAN LY RUI RO
115600159440,,KHOI TAC NGHIEP
115600159446,,KHOI TAC NGHIEP
117700159618,,KHOI HO TRO
119000159000,,BO PHAN CHUNG
120700159950,,BAN LANH DAO
16099,,
111100160021,,KHOI BAN BUON
111100160022,,KHOI BAN BUON
111100160023,,KHOI BAN BUON
111100160024,,KHOI BAN BUON
111600160091,,KHOI BAN BUON
111600160092,,KHOI BAN BUON
111600160093,,KHOI BAN BUON
111600160094,,KHOI BAN BUON
111600160095,,KHOI BAN BUON
112100160121,,KHOI BAN LE
112100160122,,KHOI BAN LE
112100160151,,KHOI BAN LE
112100160152,,KHOI BAN LE
112100160153,,KHOI BAN LE
112100160154,,KHOI BAN LE
114600160336,,KHOI QUAN LY RUI RO
114600160337,,KHOI QUAN LY RUI RO
115600160440,,KHOI TAC NGHIEP
115600160446,,KHOI TAC NGHIEP
116700160521,,KHOI TAI CHINH-KE TOAN
117700160698,,KHOI HO TRO
119000160000,,BO PHAN CHUNG
120700160950,,BAN LANH DAO
19999,,
111100199021,,KHOI BAN BUON
111100199023,,KHOI BAN BUON
112100199121,,KHOI BAN LE
112100199150,,KHOI BAN LE
112100199151,,KHOI BAN LE
112100199152,,KHOI BAN LE
112100199154,,KHOI BAN LE
112100199158,,KHOI BAN LE
114600199335,,KHOI QUAN LY RUI RO
