LEVEL_06_CODE ,Loa (mã khối),Tên khối
114600126335,14.0,KHOI QUAN LY RUI RO
115600126440,15.0,KHOI TAC NGHIEP
115600126446,15.0,KHOI TAC NGHIEP
116700126521,16.0,KHOI TAI CHINH-KE TOAN
117700126698,17.0,KHOI HO TRO
119000126000,19.0,BO PHAN CHUNG
120700126950,20.0,BAN LANH DAO
12899,,
111100128021,11.0,KHOI BAN BUON
111100128022,11.0,KHOI BAN BUON
112100128121,12.0,KHOI BAN LE
112100128150,12.0,KHOI BAN LE
112100128151,12.0,KHOI BAN LE
112100128152,12.0,KHOI BAN LE
112100128153,12.0,KHOI BAN LE
114600128335,14.0,KHOI QUAN LY RUI RO
115600128440,15.0,KHOI TAC NGHIEP
115600128446,15.0,KHOI TAC NGHIEP
117700128618,17.0,KHOI HO TRO
119000128000,19.0,BO PHAN CHUNG
120700128950,20.0,BAN LANH DAO
12999,,
111100129021,11.0,KHOI BAN BUON
111100129022,11.0,KHOI BAN BUON
111100129023,11.0,KHOI BAN BUON
112100129121,12.0,KHOI BAN LE
112100129122,12.0,KHOI BAN LE
112100129151,12.0,KHOI BAN LE
112100129152,12.0,KHOI BAN LE
112100129153,12.0,KHOI BAN LE
112100129154,12.0,KHOI BAN LE
114600129335,14.0,KHOI QUAN LY RUI RO
115600129440,15.0,KHOI TAC NGHIEP
115600129446,15.0,KHOI TAC NGHIEP
117700129618,17.0,KHOI HO TRO
119000129000,19.0,BO PHAN CHUNG
120700129950,20.0,BAN LANH DAO
15099,,
111100150021,11.0,KHOI BAN BUON
111100150022,11.0,KHOI BAN BUON
111100150023,11.0,KHOI BAN BUON
111100150025,11.0,KHOI BAN BUON
112100150121,12.0,KHOI BAN LE
112100150122,12.0,KHOI BAN LE
112100150150,12.0,KHOI BAN LE
112100150151,12.0,KHOI BAN LE
112100150152,12.0,KHOI BAN LE
112100150153,12.0,KHOI BAN LE
114600150335,14.0,KHOI QUAN LY RUI RO
115600150440,15.0,KHOI TAC NGHIEP
115600150446,15.0,KHOI TAC NGHIEP
115700150465,15.0,KHOI TAC NGHIEP
116700150521,16.0,KHOI TAI CHINH-KE TOAN
117700150698,17.0,KHOI HO TRO
119000150000,19.0,BO PHAN CHUNG
120700150950,20.0,BAN LANH DAO
15199,,
111100151021,11.0,KHOI BAN BUON
111100151022,11.0,KHOI BAN BUON
111100151023,11.0,KHOI BAN BUON
112100151120,12.0,KHOI BAN LE
112100151121,12.0,KHOI BAN LE
112100151122,12.0,KHOI BAN LE
112100151150,12.0,KHOI BAN LE
112100151151,12.0,KHOI BAN LE
112100151152,12.0,KHOI BAN LE
112100151154,12.0,KHOI BAN LE
114600151335,14.0,KHOI QUAN LY RUI RO
115600151440,15.0,KHOI TAC NGHIEP
115600151446,15.0,KHOI TAC NGHIEP
116700151521,16.0,KHOI TAI CHINH-KE TOAN
117700151698,17.0,KHOI HO TRO
