Lv0,Lv1,Lv2,Lv3,Lv4,LvPK,Size
1.22401E+11,1.17401E+11,1.17401E+11,1.16501E+11,1.11301E+11,14,5
1.22401E+11,1.17401E+11,1.17401E+11,1.11501E+11,1.11101E+11,21,102
1.174E+11,1.174E+11,1.17401E+11,1.17501E+11,1.12201E+12,31,329
1.22401E+11,1.174E+11,1.17401E+11,1.15201E+11,1.15201E+11,90,402
1.22401E+11,1.17401E+11,1.17401E+11,1.11301E+11,1.11301E+11,61,23
1.22401E+11,1.174E+11,1.20501E+11,1.20501E+11,1.20501E+11,15,9689
1.15501E+11,1.15501E+11,1.15501E+11,1.15501E+11,1.11301E+11,24,1491811
1.22401E+11,1.17401E+11,1.17401E+11,1.22501E+11,1.11301E+11,12,4825
1.22401E+11,1.174E+11,1.17401E+11,1.17501E+11,1.13101E+12,24,0
1.174E+11,1.174E+11,1.17401E+11,1.17501E+11,1.11301E+11,21,1166
1.22401E+11,1.174E+11,1.17501E+11,1.17501E+11,1.11301E+11,90,57
1.22401E+11,1.17401E+11,1.17401E+11,1.14501E+11,1.11101E+11,31,38
1.12001E+11,1.12001E+11,1.12001E+11,1.12001E+11,1.12001E+11,15,0
1.22401E+11,1.17401E+11,1.17401E+11,1.16501E+11,1.12301E+11,51,22
1.17501E+11,1.17501E+11,1.17501E+11,1.17501E+11,1.13101E+12,19,11305
1.174E+11,1.174E+11,1.16501E+11,1.16501E+11,1.11301E+11,31,33980
1.22401E+11,1.17401E+11,1.17401E+11,1.15501E+11,1.11301E+11,13,533
1.17401E+11,1.17401E+11,1.17401E+11,1.15501E+11,1.11301E+11,24,6296
1.22401E+11,1.174E+11,1.15501E+11,1.15501E+11,1.12301E+11,14,18
1.22401E+11,1.174E+11,1.17401E+11,1.17501E+11,1.17501E+11,13,658
1.174E+11,1.174E+11,1.17401E+11,1.14501E+11,1.12201E+12,51,1
1.17401E+11,1.17401E+11,1.17401E+11,1.12501E+11,1.11101E+11,19,2610
1.174E+11,1.174E+11,1.17401E+11,1.15501E+11,1.10101E+11,24,68
1.15501E+11,1.15501E+11,1.15501E+11,1.15501E+11,1.12201E+12,14,0
1.17401E+11,1.17401E+11,1.17401E+11,1.17501E+11,1.12201E+11,41,56
1.22401E+11,1.174E+11,1.17401E+11,1.22501E+11,1.12201E+11,23,0
1.174E+11,1.174E+11,1.17501E+11,1.17501E+11,1.11301E+11,23,298947
1.22401E+11,1.174E+11,1.17401E+11,1.11501E+11,1.12201E+12,51,0
1.12101E+11,1.12101E+11,1.12101E+11,1.12101E+11,1.12101E+11,21,2185999381
1.22401E+11,1.17401E+11,1.17401E+11,1.12201E+11,1.12201E+11,90,354
1.22401E+11,1.17401E+11,1.17401E+11,1.16501E+11,1.11301E+11,21,1404
1.17501E+11,1.17501E+11,1.17501E+11,1.17501E+11,1.11301E+11,22,10492449
1.19501E+11,1.19501E+11,1.19501E+11,1.19501E+11,1.19501E+11,15,231358
1.174E+11,1.174E+11,1.22501E+11,1.22501E+11,1.11101E+11,90,0
1.22401E+11,1.174E+11,1.17501E+11,1.17501E+11,1.11101E+11,21,35263
1.174E+11,1.174E+11,1.17501E+11,1.17501E+11,1.11301E+11,41,3722
1.22401E+11,1.174E+11,1.17401E+11,1.12501E+11,1.11101E+11,15,0
1.174E+11,1.174E+11,1.17401E+11,1.12201E+12,1.12201E+12,22,455930
1.22401E+11,1.174E+11,1.17401E+11,1.15501E+11,1.10101E+11,12,0
1.22401E+11,1.16501E+11,1.16501E+11,1.16501E+11,1.11301E+11,21,170300
1.22401E+11,1.17401E+11,1.17401E+11,1.17501E+11,1.11301E+11,21,108
1.22401E+11,1.174E+11,1.16501E+11,1.16501E+11,1.10101E+11,21,0
1.22401E+11,1.174E+11,1.16501E+11,1.16501E+11,1.11101E+11,21,0
1.174E+11,1.174E+11,1.13401E+11,1.16501E+11,1.11101E+11,21,77501
1.174E+11,1.174E+11,1.17501E+11,1.17501E+11,1.17501E+11,99,458588
1.174E+11,1.174E+11,1.17401E+11,1.16501E+11,1.11301E+11,61,64
1.22401E+11,1.174E+11,1.17501E+11,1.17501E+11,1.11101E+11,11,6234
1.16501E+11,1.16501E+11,1.16501E+11,1.16501E+11,1.12301E+11,13,411166
1.22401E+11,1.174E+11,1.15501E+11,1.15501E+11,1.12301E+11,41,78
1.174E+11,1.174E+11,1.11501E+11,1.11501E+11,1.12301E+11,90,1098589
1.16501E+11,1.16501E+11,1.16501E+11,1.16501E+11,1.12201E+11,24,2414
1.22401E+11,1.174E+11,1.17401E+11,1.16501E+11,1.11301E+11,41,2
1.174E+11,1.174E+11,1.17501E+11,1.17501E+11,1.12201E+12,90,47930
1.11301E+11,1.11301E+11,1.11301E+11,1.11301E+11,1.11301E+11,19,672869
1.174E+11,1.174E+11,1.17501E+11,1.17501E+11,1.12201E+12,14,5119
1.22401E+11,1.174E+11,1.16501E+11,1.16501E+11,1.12301E+11,41,74
1.17401E+11,1.17401E+11,1.17401E+11,1.17501E+11,1.11301E+11,13,253447
1.22401E+11,1.174E+11,1.16501E+11,1.16501E+11,1.12301E+11,22,604752
1.22401E+11,1.174E+11,1.16501E+11,1.16501E+11,1.11101E+11,61,106
1.22401E+11,1.174E+11,1.17401E+11,1.11501E+11,1.10101E+11,31,0
1.22401E+11,1.174E+11,1.17401E+11,1.17501E+11,1.10101E+11,90,1
